calendar_start_date,iso_year,iso_week,dengue_total,tmin,tmax,rh
2015-01-04,2015,1,58.0,24.63857160295759,29.38428579057966,75.7257142857143
2015-01-11,2015,2,74.0,25.308571134294784,30.49285725184849,71.5214285714286
2015-01-18,2015,3,79.0,25.128571374075754,30.1471426827567,73.94
2015-01-25,2015,4,107.0,25.342857088361463,30.8742858341762,70.0957142857143
2015-02-01,2015,5,156.0,24.779999869210375,29.30857140677316,78.6028571428571
2015-02-08,2015,6,142.0,25.531429018293103,30.90857097080776,74.4442857142857
2015-02-15,2015,7,160.0,24.511428560529435,28.43000030517578,81.8457142857143
2015-02-22,2015,8,196.0,23.687142780848912,28.12142889840262,84.5857142857143
2015-03-01,2015,9,307.0,23.985714503696983,27.87571443830218,85.3928571428571
2015-03-08,2015,10,389.0,24.748571123395642,28.80428586687361,83.6
2015-03-15,2015,11,406.0,24.847142900739396,29.03285707746233,83.3257142857143
2015-03-22,2015,12,462.0,23.948571613856725,28.38714299883161,85.3457142857143
2015-03-29,2015,13,408.0,24.080000196184432,28.11857141767229,86.4871428571429
2015-04-05,2015,14,617.0,24.038571221487864,28.23428589957101,85.37
2015-04-12,2015,15,901.0,24.542857306344168,28.45999990190779,85.68
2015-04-19,2015,16,1505.0,24.28571401323591,27.78285734994071,86.1757142857143
2015-04-26,2015,17,1691.0,24.709999901907786,28.82428577968053,84.3314285714286
2015-05-03,2015,18,2243.0,24.871428625924246,28.89714295523507,83.1428571428571
2015-05-10,2015,19,2774.0,25.042857578822545,29.55999973842076,77.9642857142857
2015-05-17,2015,20,2678.0,25.3242860521589,29.54000009809221,79.89
2015-05-24,2015,21,2140.0,25.082856859479634,29.07428550720215,81.8271428571429
2015-05-31,2015,22,1722.0,24.532857077462328,29.34142875671387,79.3714285714286
2015-06-07,2015,23,1525.0,24.781428473336355,29.27285739353725,77.37
2015-06-14,2015,24,1457.0,24.46000017438616,29.75571414402553,73.73
2015-06-21,2015,25,1195.0,24.10571425301688,28.81714303152902,77.0371428571429
2015-06-28,2015,26,795.0,23.51285689217704,27.81142834254674,83.0914285714286
2015-07-05,2015,27,702.0,24.12142835344587,28.49571418762207,79.8657142857143
2015-07-12,2015,28,514.0,23.83142880031041,29.32857131958008,72.4042857142857
2015-07-19,2015,29,384.0,24.13571439470564,29.2014285496303,73.2714285714286
2015-07-26,2015,30,333.0,23.750000272478378,29.75714329310826,69.8428571428571
2015-08-02,2015,31,332.0,23.74571391514369,30.7514283316476,67.4728571428571
2015-08-09,2015,32,273.0,23.782857077462328,30.99428558349609,64.2342857142857
2015-08-16,2015,33,216.0,23.90571430751256,30.84142848423549,66.6728571428571
2015-08-23,2015,34,146.0,24.38571439470564,30.06714275905064,68.86
2015-08-30,2015,35,120.0,24.302857535226003,29.94999967302595,71.5014285714286
2015-09-06,2015,36,103.0,24.415714536394397,29.87142889840262,70.7185714285714
2015-09-13,2015,37,85.0,24.437142780848912,30.53714261736189,69.2028571428571
2015-09-20,2015,38,63.0,24.654285430908203,30.10999979291643,69.4757142857143
2015-09-27,2015,39,56.0,24.688571657453263,30.5499997820173,66.6042857142857
2015-10-04,2015,40,45.0,24.89428574698312,30.13714327130999,69.3285714285714
2015-10-11,2015,41,47.0,24.812857219151088,31.01285689217704,66.9814285714286
2015-10-18,2015,42,34.0,24.9514285496303,30.64285714285714,68.0957142857143
2015-10-25,2015,43,20.0,24.897142955235072,30.48714283534459,67.7857142857143
2015-11-01,2015,44,27.0,24.965714590890062,30.6942858014788,67.7585714285714
2015-11-08,2015,45,27.0,25.109999792916437,30.43142836434501,68.5357142857143
2015-11-15,2015,46,23.0,25.141428538731162,30.87714276994978,70.2314285714286
2015-11-22,2015,47,23.0,25.582857131958008,30.85428619384766,71.41
2015-11-29,2015,48,50.0,25.68857192993164,31.11857114519392,69.7457142857143
2015-12-06,2015,49,41.0,25.74000004359654,31.11857114519392,69.1842857142857
2015-12-13,2015,50,46.0,25.365713936941965,30.47999981471471,74.3628571428571
2015-12-20,2015,51,41.0,24.89285768781389,29.61285700116839,76.7171428571429
2015-12-27,2015,52,20.0,25.11000022888184,28.82799987792969,79.496
2016-01-03,2015,53,72.0,24.64666684468587,29.03666687011719,75.8966666666667
2016-01-10,2016,1,91.0,24.70857129778181,28.90714236668178,83.7371428571429
2016-01-17,2016,2,107.0,24.795714242117743,28.91857147216797,83.7185714285714
2016-01-24,2016,3,186.0,24.22285761151995,27.85285704476493,87.4185714285714
2016-01-31,2016,4,193.0,24.648571831839423,28.7014285496303,84.0357142857143
2016-02-07,2016,5,182.0,24.36428587777274,28.62857164655413,85.0957142857143
2016-02-14,2016,6,210.0,24.839999880109513,29.04428591047014,82.3657142857143
2016-02-21,2016,7,267.0,24.71142850603376,28.84999983651297,84.1342857142857
2016-02-28,2016,8,231.0,24.82428577968053,28.75571441650391,85.0071428571429
2016-03-06,2016,9,298.0,25.747143064226425,29.51857130868094,82.2042857142857
